Year,USA,EU,Canada
1983,8.5,,
1984,9.375,,
1985,8.125,,
1986,7.75,,
1987,5.875,,
1988,6.8125,,
1989,8.6875,,
1990,8.25,,
1991,7.0,,
1992,4.0,,
1993,3.0,,
1994,3.0,,
1995,5.5,,
1996,5.5,,
1997,5.25,,
1998,5.5,,
1999,4.75,,
2000,5.5,,
2001,6.5,,
2002,1.75,,
2003,1.25,,
2004,1.0,,
2005,2.25,,
2006,4.25,,
2007,5.25,,
2008,4.25,,
2009,0.25,,
2010,0.25,,
2011,0.25,,
2012,0.25,,
2013,0.25,,
2014,0.25,,
2015,0.25,,
2016,0.5,,
2017,0.75,,
1999,,3.0,
2000,,4.75,
2001,,3.25,
2002,,2.75,
2003,,2.0,
2005,,2.25,
2006,,3.5,
2007,,4.0,
2008,,2.5,
2009,,1.0,
2011,,1.0,
2012,,0.75,
2013,,0.25,
2014,,0.05,
2015,,0.05,
2016,,0.0,
2019,,0.0,
2009,,,0.5
2010,,,0.5
2011,,,1.25
2012,,,1.25
2013,,,1.25
2014,,,1.25
2015,,,1.0
2016,,,0.75
2017,,,0.75
2018,,,1.5
2019,,,2.0
